[02:54:50] Ranking: 1,8,3,6
[02:55:26] Ranking: 1,8,3,6
[02:56:08] Ranking: 1,8,3,6
[02:56:22] Ranking: 1,8,3,6
[03:06:04] Ranking: 1,8,3,6
[03:10:36] Ranking: 1,8,3,6
[03:11:07] Ranking: 1,8,3,6
[03:11:07] Ranking: 1,2,3,4,5,6
[03:11:07] Ranking: 1,2,3,4,5,6
[03:11:07] Ranking: 2,3,6,1,4,5
[03:11:07] Ranking: 2,3,4,6,1,5
[03:11:07] Ranking: 3,2,6,1,4,5
[03:11:07] Ranking: 3,2,4,6,1,5
[03:11:07] Ranking: 2,3,6,4,1,5
[03:11:07] Ranking: 3,2,4,6,5,1
[03:19:05] Round: undefined. Ranking: undefined
[03:19:05] Round: 1. Ranking: 1,2,3,4,5,6
[03:19:05] Round: 2. Ranking: 1,2,3,4,5,6
[03:19:05] Round: 3. Ranking: 2,3,6,1,4,5
[03:19:05] Round: 4. Ranking: 2,3,4,6,1,5
[03:19:05] Round: 5. Ranking: 3,2,6,1,4,5
[03:19:05] Round: 6. Ranking: 3,2,4,6,1,5
[03:19:05] Round: 7. Ranking: 2,3,6,4,1,5
[03:19:05] Round: 8. Ranking: 3,2,4,6,5,1
[03:20:19] Round: undefined. Ranking: undefined
[03:20:19] Round: 1. Ranking: 1,2,3,4,5,6
[03:20:19] Round: 2. Ranking: 1,2,3,4,5,6
[03:20:19] Round: 3. Ranking: 2,3,6,1,4,5
[03:20:19] Round: 4. Ranking: 2,3,4,6,1,5
[03:20:57] Round: undefined. Ranking: undefined
[03:20:57] Round: 1. Ranking: 1,2,3,4,5,6
[03:20:57] Round: 2. Ranking: 1,2,3,4,5,6
[03:41:47] Rounds completed: 2. Ranking: 2,3,6,1,4,5
[03:41:47] Rounds completed: 3. Ranking: 2,3,4,6,1,5
[03:41:47] Rounds completed: 4. Ranking: 3,2,6,1,4,5
[03:42:25] Rounds completed: undefined. Ranking: undefined
[03:42:25] Rounds completed: 0. Ranking: 1,2,3,4,5,6
[03:42:25] Rounds completed: 1. Ranking: 1,2,3,4,5,6
[03:42:25] Rounds completed: 2. Ranking: 2,3,6,1,4,5
[03:42:25] Rounds completed: 3. Ranking: 2,3,4,6,1,5
[03:42:25] Rounds completed: 4. Ranking: 3,2,6,1,4,5
[03:42:44] Rounds completed: 0. Ranking: 1,2,3,4,5,6
[03:42:44] Rounds completed: 1. Ranking: 1,2,3,4,5,6
[03:42:44] Rounds completed: 2. Ranking: 2,3,6,1,4,5
[03:42:44] Rounds completed: 3. Ranking: 2,3,4,6,1,5
[03:42:44] Rounds completed: 4. Ranking: 3,2,6,1,4,5
[03:43:08] Rounds completed: 0. Ranking: 1,2,3,4,5,6
[03:43:08] Rounds completed: 1. Ranking: 1,2,3,4,5,6
[03:43:08] Rounds completed: 2. Ranking: 2,3,6,1,4,5
[03:43:08] Rounds completed: 3. Ranking: 2,3,4,6,1,5
[03:43:08] Rounds completed: 4. Ranking: 3,2,6,1,4,5
[03:43:08] Rounds completed: 5. Ranking: 3,2,4,6,1,5
[03:43:08] Rounds completed: 6. Ranking: 2,3,6,4,1,5
[03:43:08] Rounds completed: 7. Ranking: 3,2,4,6,5,1
[03:43:08] Rounds completed: 8. Ranking: 3,2,6,4,1,5
[03:43:08] Rounds completed: 9. Ranking: 3,2,6,4,5,1
[03:43:08] Rounds completed: 10. Ranking: 3,2,6,4,1,5
[03:43:08] Rounds completed: 11. Ranking: 3,2,6,4,1,5
[03:43:08] Rounds completed: 12. Ranking: 3,2,6,4,1,5
[03:45:07] Rounds completed: 0. Ranking: 1,2,3,4,5,6
[03:45:07] Rounds completed: 1. Ranking: 1,2,3,4,5,6
[03:45:07] Rounds completed: 2. Ranking: 2,3,6,1,4,5
[03:45:07] Rounds completed: 3. Ranking: 2,3,4,6,1,5
[03:45:07] Rounds completed: 4. Ranking: 3,2,6,1,4,5
[03:45:07] Rounds completed: 5. Ranking: 3,2,4,6,1,5
[03:45:07] Rounds completed: 6. Ranking: 2,3,6,4,1,5
[03:45:07] Rounds completed: 7. Ranking: 3,2,4,6,5,1
[03:45:07] Rounds completed: 8. Ranking: 3,2,6,4,1,5
[03:45:07] Rounds completed: 9. Ranking: 3,2,6,4,5,1
[03:45:07] Rounds completed: 10. Ranking: 3,2,6,4,1,5
[03:45:07] Rounds completed: 11. Ranking: 3,2,6,4,1,5
[03:45:07] Rounds completed: 12. Ranking: 3,2,6,4,1,5
[03:45:41] Rounds completed: 0. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:45:41] Rounds completed: 1. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:45:41] Rounds completed: 2. Ranking: 1,2,3,7,9,4,5,6,8,10
[03:45:41] Rounds completed: 3. Ranking: 1,3,9,2,4,6,7,5,8,10
[03:45:41] Rounds completed: 4. Ranking: 3,9,1,6,7,2,4,10,5,8
[03:45:41] Rounds completed: 5. Ranking: 3,9,7,1,2,4,6,10,5,8
[03:45:41] Rounds completed: 6. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:45:41] Rounds completed: 7. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:45:41] Rounds completed: 8. Ranking: 9,3,2,6,7,4,1,10,5,8
[03:45:41] Rounds completed: 9. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:45:41] Rounds completed: 10. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:45:41] Rounds completed: 11. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:45:41] Rounds completed: 12. Ranking: 9,3,2,7,6,1,4,10,5,8

                                          9,3,2,7,6,4,1,10,5,8
[03:46:42] Rounds completed: 0. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:46:42] Rounds completed: 1. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:46:42] Rounds completed: 2. Ranking: 1,2,3,7,9,4,5,6,8,10
[03:46:42] Rounds completed: 3. Ranking: 1,3,9,2,4,6,7,5,8,10
[03:46:42] Rounds completed: 4. Ranking: 3,9,1,6,7,2,4,10,5,8
[03:46:42] Rounds completed: 5. Ranking: 3,9,7,1,2,4,6,10,5,8
[03:46:42] Rounds completed: 6. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:46:42] Rounds completed: 7. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:46:42] Rounds completed: 8. Ranking: 9,3,2,6,7,4,1,10,5,8
[03:46:42] Rounds completed: 9. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:46:42] Rounds completed: 10. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:46:42] Rounds completed: 11. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:46:42] Rounds completed: 12. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:46:42] Rounds completed: 13. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:46:42] Rounds completed: 14. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:46:42] Rounds completed: 15. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:46:42] Rounds completed: 16. Ranking: 9,3,7,2,6,1,4,10,5,8

[03:47:24] Rounds completed: 0. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:47:24] Rounds completed: 1. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:47:24] Rounds completed: 2. Ranking: 1,2,3,7,9,4,5,6,8,10
[03:47:24] Rounds completed: 3. Ranking: 1,3,9,2,4,6,7,5,8,10
[03:47:24] Rounds completed: 4. Ranking: 3,9,1,6,7,2,4,10,5,8
[03:47:24] Rounds completed: 5. Ranking: 3,9,7,1,2,4,6,10,5,8
[03:47:24] Rounds completed: 6. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:24] Rounds completed: 7. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:47:24] Rounds completed: 8. Ranking: 9,3,2,6,7,4,1,10,5,8
[03:47:24] Rounds completed: 9. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:24] Rounds completed: 10. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:24] Rounds completed: 11. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:24] Rounds completed: 12. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:24] Rounds completed: 13. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:24] Rounds completed: 14. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:24] Rounds completed: 15. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:24] Rounds completed: 16. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:24] Rounds completed: 17. Ranking: 9,3,7,2,6,10,4,1,5,8
[03:47:24] Rounds completed: 18. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:24] Rounds completed: 19. Ranking: 9,3,7,2,6,4,1,10,5,8
[03:47:24] Rounds completed: 20. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:47:55] Rounds completed: 0. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:47:55] Rounds completed: 1. Ranking: 1,2,3,4,5,6,7,8,9,10
[03:47:55] Rounds completed: 2. Ranking: 1,2,3,7,9,4,5,6,8,10
[03:47:55] Rounds completed: 3. Ranking: 1,3,9,2,4,6,7,5,8,10
[03:47:55] Rounds completed: 4. Ranking: 3,9,1,6,7,2,4,10,5,8
[03:47:55] Rounds completed: 5. Ranking: 3,9,7,1,2,4,6,10,5,8
[03:47:55] Rounds completed: 6. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:55] Rounds completed: 7. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:47:55] Rounds completed: 8. Ranking: 9,3,2,6,7,4,1,10,5,8
[03:47:55] Rounds completed: 9. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:55] Rounds completed: 10. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:55] Rounds completed: 11. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:55] Rounds completed: 12. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:55] Rounds completed: 13. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:55] Rounds completed: 14. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:55] Rounds completed: 15. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:55] Rounds completed: 16. Ranking: 9,3,7,2,6,1,4,10,5,8
[03:47:55] Rounds completed: 17. Ranking: 9,3,7,2,6,10,4,1,5,8
[03:47:55] Rounds completed: 18. Ranking: 9,3,7,2,6,4,10,1,5,8
[03:47:55] Rounds completed: 19. Ranking: 9,3,7,2,6,4,1,10,5,8
[03:47:55] Rounds completed: 20. Ranking: 9,3,2,7,6,4,1,10,5,8
[03:47:55] Rounds completed: 21. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:55] Rounds completed: 22. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:55] Rounds completed: 23. Ranking: 9,3,2,7,6,4,10,1,5,8
[03:47:56] Rounds completed: 24. Ranking: 9,3,2,7,6,1,4,10,5,8
[03:47:56] Rounds completed: 25. Ranking: 9,3,2,7,6,4,10,1,5,8
